nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2008,"In Vivo Imaging Reveals an Essential Role for Neutrophils in Leishmaniasis Transmitted by Sand Flies","SCIENCE",0036-8075,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2008,"Studies on the influence of the presence of domestic animals on increasing the transmission probabilities of leishmaniasis","THE ANNALS OF MEDICAL ENTOMOLOGY",0971-135X,N,,,
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2007,"Padronização de condições para detecão de DNA de Leishmania spp. em flebotomíneos (Diptera, Psychodidae) pela reação em cadeia da polimerase","CADERNOS DE SAÚDE PÚBLICA (FIOCRUZ)",0102-311X,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2007,"Ultrastructural comparison of external morphology of immature stages of Lutzomyia (Nyssomyia) intermedia and  Lutzomyia ( Nyssomyia) whitmani ( Diptera: Psychodidae), vectors of cutaneouns leishmaniasis, by scanning electron microscopy","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2006,"The role of egg buster in the process of egg hatching of the Aedes aegypti mosquito","JOURNAL OF MEDICAL ENTOMOLOGY",,N,,,
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2006,"Detection and indentification of Leishemania species in fiel-captured phlebotomine sandflies base don mini-ewxon gene PCR","ACTA TROPICA",0001-706X,A2,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2006,"Dengue-2 virus Atificial Infection of Brazilian Colonized Aedes Aegypti","VIRUS REVIEWS AND RESEARCH",1519-2563,C,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2005,"Midgut muscle network in Lutozomyia longipalpis and Phlebotomus duboscqi sand flies: Spatial organization and strutural modification after meal.","ARTHROPOD STRUCTURE & DEVELOPMENT",,N,,,
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2005,"Lutzomyia longipalpis Peritrophic Matrix : Formation, Structure, and Chemical; Composition","ENTOMOLOGICAL SOCIETY OF AMERICA",,N,,,
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2002,"Assessment of PCR in the detection of Laishmania spp en experimentally infected individual phebotomine sandflies (Diptera:Psychodidae:phlebotominae)","REV. INST. MEDICINA TROPICAL DE SÃO PAULO",,N,,,
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2002,"Presence of chitinase and Beta-N-acetyglucosaminidase in the Aedes aegypti A chitinolytic system involving peritrophic matrix formation and degradation","INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY",,N,,,
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2002,"Preliminary description of a new entomoparasitic nematode infecting Lutzomyia longipalpis sand fly, the vector of visceral leishmaniasis in the New World","JOURNAL OF INVERTEBRATE PATHOLOGY",,N,,,
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2000,"Scanning electron microscopy study of the egg and imature stages of the sandflies Lutzomyia longipalpis","ACTA MICROSCÓPICA",0798-4545,B3,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,1997,"Efficacy of a new formulation of Bacillus sphaericus 2362 against Culex quinquefasciatus (Dpitera: Culicidae) in Montes Claros, Minas Gerais","MEMÓRIAS DO INSTITUTO OSWALDO CRUZ",0074-0276,A4,,,2020
